 by Role ,பாத்திரம் மூலம்
Address Line 1,முகவரி வரி 1
Address Line 2,முகவரி வரி 2
Address Title,முகவரி தலைப்பு
Address and other legal information you may want to put in the footer.,முகவரி மற்றும் பிற சட்ட தகவல் நீங்கள் அடிக்குறிப்பில் உள்ள வைக்க வேண்டும்.
Admin,நிர்வாகம்
All Applications,அனைத்து பயன்பாடுகள்
All Day,அனைத்து தினம்
"All possible Workflow States and roles of the workflow. <br>Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","அனைத்து பணியோட்ட அமெரிக்கா மற்றும் பணிப்பாய்வு பாத்திரங்களை. <br> Docstatus விருப்பங்கள்: 0 &quot;சேமிக்கப்பட்ட&quot; என்பது, 1 &quot;Submitted&quot; மற்றும் 2 &quot;ரத்து&quot; என்று"
Allow Attach,இணை அனுமதி
Allow Import,இறக்குமதி அனுமதி
Allow Import via Data Import Tool,தரவு இறக்குமதி கருவி வழியாக இறக்குமதி அனுமதி
Allow Rename,மறுபெயரிடு அனுமதி
Allow on Submit,சமர்ப்பி மீது அனுமதிக்க
Allow user to login only after this hour (0-24),பயனர் இந்த மணி நேரத்திற்கு பிறகு மட்டுமே உள்நுழைய அனுமதி (0-24)
Allow user to login only before this hour (0-24),பயனர் இந்த மணி நேரத்திற்கு முன் தான் உள்ளே செல்ல அனுமதிக்க (0-24)
Allowed,அனுமதித்த
"Allowing DocType, DocType. Be careful!","அனுமதிப்பது DOCTYPE , DOCTYPE . கவனமாக இருங்கள்!"
Already Registered,ஏற்கனவே பதிவு
Already in todo,ஏற்கனவே கூறுகிறது உள்ள
Alternative download link,மாற்று இணைப்பை
"Alternatively, you can also specify 'auto_email_id' in site_config.json","மாற்றாக, நீங்கள் site_config.json உள்ள ' auto_email_id ' குறிப்பிட முடியும்"
Always use above Login Id as sender,எப்போதும் அனுப்புநர் என உள்நுழைவு ஐடி மேலே பயன்படுத்த
Amend,முன்னேற்று
"An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [<a href=""http://favicon-generator.org/"" target=""_blank"">favicon-generator.org</a>]",". Ico நீட்டிப்பு ஒரு ஐகான் கோப்பு. 16 x 16 px இருக்க வேண்டும். ஃபேவிகான் ஜெனரேட்டர் பயன்படுத்தி உருவாக்கப்படும். [ <a href=""http://favicon-generator.org/"" target=""_blank"">ஃபேவிகான்-generator.org</a> ]"
"Another {0} with name {1} exists, select another name","மற்றொரு {0} பெயர் {1} உள்ளது, மற்றொரு பெயர் தேர்வு"
Anyone Can Read,எவரும் படிக்கலாம்
Anyone Can Write,எவரும் எழுத முடியுமா
"Apart from System Manager, roles with 'Can Restrict' permission can restrict other users for that Document Type.","தவிர கணினி மேலாளர் , வேடங்களில் அனுமதி என்று ஆவண வகை பிற பயனர்கள் கட்டுப்படுத்த முடியும் ' கட்டுப்படுத்த முடியும் ' ."
"Apart from the existing Permission Rules, you can apply addition restriction based on Type.","தவிர ஏற்கனவே அனுமதி விதிகள் இருந்து , நீங்கள் டைப் அடிப்படையில் கூடுதலாக கட்டுப்பாடு விண்ணப்பிக்க முடியும் ."
App Already Installed,ஆப் ஏற்கனவே நிறுவப்பட்ட
App Name,பயன்பாடு பெயர்
App not found,ஆப் இல்லை
Application Installer,விண்ணப்ப நிறுவி
Applications,பயன்பாடுகள்
Are you sure you want to delete the attachment?,நீங்கள் இணைப்பு நீக்க வேண்டுமா?
Arial,Arial
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","ஒரு சிறந்த பயிற்சி , பல்வேறு வேடங்களில் அனுமதி ஆட்சி அதே தொகுப்பில் ஒதுக்க வேண்டாம் . அதற்கு பதிலாக, அதே பயனர் பல பாத்திரங்கள் அமைக்க ."
Ascending,ஏறுமுகம்
Assign To,என்று ஒதுக்க
Assigned By,ஒதுக்கப்படுகின்றன
Assigned To,ஒதுக்கப்படும்
Assigned To Fullname,Fullname ஒதுக்கப்படும்
Assigned To/Owner,/ உரிமையாளர் ஒதுக்கப்படும்
Assignment Added,ஒப்படை சேர்க்கப்பட்டது
Assignment Status Changed,ஒப்படை நிலை மாற்றப்பட்டது
Assignments,பணிகள்
Attach,ஒட்டு
Attach Document Print,ஆவண அச்சிடுக இணைக்கவும்
Attach as web link,இணைய இணைப்பு இணை
Attached To DocType,Doctype இணைக்கப்பட்டுள்ளது
Attached To Name,பெயர் இணைக்கப்பட்டுள்ளது
Attachments,இணைப்புகள்
Auto Email Id,கார் மின்னஞ்சல் விலாசம்
Auto Name,கார் பெயர்
Auto generated,உருவாக்கப்பட்ட கார்
Avatar,சின்னம்
Back to Login,மீண்டும் உள்நுழைய வேண்டும்
Background Color,பின்புல நிறம்
Background Image,பின்புல படம்
Banner,சிறிய கொடி
Banner HTML,பதாகை HTML
Banner Image,பதாகை படம்
Banner is above the Top Menu Bar.,பதாகை மேலே மெனு பார் மேலே உள்ளது.
Base Template Path,தளம் டெம்ப்ளேட் பாதை
Begin this page with a slideshow of images,படங்களை ஒரு காட்சியை இந்த பக்கம் தொடங்க
Belongs to,சொந்தம்
Bio,உயிரி
Birth Date,பிறந்த தேதி
Blog Category,வலைப்பதிவு பகுப்பு
Blog Intro,வலைப்பதிவு அறிமுகம்
Blog Introduction,வலைப்பதிவு அறிமுகம்
Blog Post,வலைப்பதிவு இடுகை
Blog Settings,வலைப்பதிவு அமைப்புகள்
Blog Title,தலைப்பு
Blogger,பதிவர்
Bookmarks,புக்மார்க்குகள்
Brand HTML,பிராண்ட் HTML
Built on,கட்டப்பட்டது
Bulk Email,மொத்த மின்னஞ்சல்
Bulk email limit {0} crossed,மொத்த மின்னஞ்சல் எல்லை {0} கடந்து
Button,பொத்தான்
By,மூலம்
Calendar,அட்டவணை
Can Restrict,கட்டுப்படுத்த முடியும்
Cancel,ரத்து
Cancelled,ரத்து
"Cannot Edit {0} directly: To edit {0} properties, create / update {1}, {2} and {3}","திருத்த முடியாது {0} நேரடியாக : {0} பண்புகள் திருத்த, உருவாக்க / மேம்படுத்தல் {1} , {2} {3}"
Cannot Update: Incorrect / Expired Link.,புதுப்பிக்க முடியாது : காலாவதியான / தவறான இணைப்பு .
Cannot Update: Incorrect Password,புதுப்பிக்க முடியாது : தவறான கடவுச்சொல்
Cannot add more than 50 comments,50 க்கும் மேற்பட்ட கருத்துக்கள் சேர்க்க முடியாது
Cannot change picture,படத்தை மாற்ற முடியாது
Cannot change {0},மாற்ற முடியாது {0}
Cannot delete or cancel because {0} {1} is linked with {2} {3},அழிக்கவோ அல்லது {0} {1} இணைக்கப்பட்டுள்ளது ஏனெனில் ரத்து செய்ய முடியாது {2} {3}
Cannot delete {0} as it has child nodes,அது குழந்தை முனைகள் என {0} நீக்க முடியாது
Cannot delete {0} {1} is it is referenced in another record,நீக்க முடியாது {0} {1} இது மற்றொரு சாதனை குறிப்பிடப்பட்ட
Cannot edit standard fields,நிலையான துறைகள் திருத்த முடியாது
Cannot map because following condition fails: ,"பின்வரும் நிலையில் முடியவில்லை, ஏனெனில் வரைய முடியாது:"
Cannot open instance when its {0} is open,அதன் {0} திறந்த போது உதாரணமாக திறக்க முடியாது
Cannot open {0} when its instance is open,அதன் உதாரணமாக திறந்த போது {0} திறக்க முடியாது
Cannot print cancelled documents,ரத்து ஆவணங்களை அச்சிட முடியாது
Cannot reply to a reply,பதில் பதிலளிக்க முடியாது
Categorize blog posts.,இடுகைகள் வகைப்படுத்தவும்.
Category,வகை
Category Name,வகை பெயர்
Center,மையம்
"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.","சில ஆவணங்கள் , ஒரு விலைப்பட்டியல் போன்ற முறை இறுதி மாற்ற கூடாது . அந்த ஆவணங்கள் , இறுதி நிலை Submitted என்று அழைக்கப்படுகிறது. நீங்கள் வேடங்களில் சமர்ப்பிக்கவும் முடியும் கட்டுப்படுத்த முடியும்."
"Change field properties (hide, readonly, permission etc.)","மாற்றம் துறையில் பண்புகள் ( மறைக்க , படிக்கமட்டும், அனுமதி முதலியன)"
Chat,அரட்டை
Check,சோதனை
Check / Uncheck roles assigned to the User. Click on the Role to find out what permissions that Role has.,பதிவு செய்தது ஒதுக்கப்படும் / தேர்வுநீக்கு வேடங்களில் பாருங்கள். பங்கு உண்டு என்று என்ன அனுமதிகள் கண்டுபிடிக்க பங்கு கிளிக்.
Check this if you want to send emails as this id only (in case of restriction by your email provider).,"நீங்கள் மட்டுமே இந்த அடையாள (உங்கள் மின்னஞ்சல் வழங்குநர் மூலம் கட்டுப்பாடு விஷயத்தில்) போன்ற மின்னஞ்சல்களை அனுப்ப விரும்பினால், இந்த சோதனை."
Check this to make this the default letter head in all prints,அனைத்து அச்சிட்டு இந்த முன்னிருப்பு கடிதம் தலை செய்ய இந்த சோதனை
Checked items shown on desktop,டெஸ்க்டாப் காட்டப்படும் சோதிக்க பொருட்கள்
Child Tables are shown as a Grid in other DocTypes.,குழந்தை அட்டவணைகள் மற்ற டாக்டைப்கள் ஒரு கட்டம் காட்டப்படும்.
City,நகரம்
Clear Cache,தெளிவு Cache
Clear all roles,அனைத்து வேடங்களில் அழி
Click on a link to get options to expand get options ,
Click on row to view / edit.,/ தொகு பார்வையிட வரிசையில் கிளிக் .
Click to Expand / Collapse,சுருக்கு / விரிவாக்கு சொடுக்கவும்
Client,கிளையன்
Close,மூடவும்
Close: {0},Close : {0}
Closed,மூடிய
Code,குறியீடு
Collapse,சுருக்கு
Color,நிறம்
Column Break,நெடுவரிசை பிரிப்பு
Comment,கருத்து
Comment By,By கருத்து
Comment By Fullname,FULLNAME என்பவர் உங்களை மூலம் கருத்து
Comment Date,தேதி கருத்து
Comment Docname,Docname கருத்து
Comment Doctype,DOCTYPE கருத்து
Comment Time,நேரம் கருத்து
Comments,கருத்துரைகள்
Communication,தகவல்
Communication Medium,தொடர்பு மொழி
Company History,நிறுவனத்தின் வரலாறு
Company Introduction,நிறுவனம் அறிமுகம்
Complaint,புகார்
Complete By,மூலம் நிறைவு
Condition Field,நிலை புலம்
Contact Us Settings,எங்களை அமைப்புகள் தொடர்பு
"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.","தொடர்பு விருப்பங்கள், ஒரு புதிய பாதையில் ஹிப்ரு ஒவ்வொரு &quot;விற்பனை கேள்வி, வினா ஆதரவு&quot; அல்லது பிரிக்கப்பட்ட."
Content,உள்ளடக்கம்
Content Hash,உள்ளடக்க ஹாஷ்
Content in markdown format that appears on the main side of your page,உங்கள் பக்கம் முக்கிய பக்கத்தில் தோன்றும் markdown வடிவமைப்பில் உள்ளடக்கத்தை
Content web page.,உள்ளடக்கத்தை வலைப்பக்கத்தில்.
Controller,கட்டுப்பாட்டாளர்
Copy,நகலெடுக்க
Copyright,பதிப்புரிமை
Core,உள்ளகம்
Could not connect to outgoing email server,வெளியேறும் மின்னஞ்சல் சேவையகத்துடன் இணைக்க முடியவில்லை
Could not find {0},கண்டுபிடிக்க முடியவில்லை {0}
Count,கவுண்ட்
Country,நாடு
Create,உருவாக்கு
Created Custom Field {0} in {1},விருப்ப புலம் உருவாக்கப்பட்ட {0} ல் {1}
Created Customer Issue,உருவாக்கிய வாடிக்கையாளர் வெளியீடு
Created Opportunity,வாய்ப்பு உருவாக்கப்பட்டது
Created Support Ticket,உருவாக்கிய ஆதரவு டிக்கெட்
Creation / Modified By,உருவாக்கம் / மாற்ற
Currency,நாணய
Current status,தற்போதைய நிலை
Custom CSS,தனிப்பயன் CSS
Custom Field,தனிப்பயன் புலம்
Custom Javascript,விருப்ப ஜாவா
Custom Reports,தனிபயன் அறிக்கைகள்
Custom Script,தனிப்பயன் உரை
Custom?,தனிபயன்?
Customize,தனிப்பயனாக்கு
Customize Form,படிவம் தனிப்பயனாக்கு
Customize Form Field,படிவம் புலம் தனிப்பயனாக்கு
"Customize Label, Print Hide, Default etc.","லேபிள், அச்சு மறை, இயல்புநிலை போன்ற தனிப்பயனாக்கு"
Customized HTML Templates for printing transctions.,அச்சிடும் transctions அமைத்துக்கொள்ள HTML வார்ப்பு .
Daily Event Digest is sent for Calendar Events where reminders are set.,தினசரி நிகழ்வு டைஜஸ்ட் ஒன்றுள்ளது எங்கே அட்டவணை நிகழ்வுகள் அனுப்பப்பட்டுள்ளது.
Danger,ஆபத்து
Data,தரவு
Data Import / Export Tool,தரவு இறக்குமதி / ஏற்றுமதி கருவி
Data Import Tool,தரவு இறக்குமதி கருவி
Data missing in table,அட்டவணையில் காணாமல் தரவு
Date,தேதி
Date Format,தேதி வடிவமைப்பு
Date and Number Format,தேதி மற்றும் எண் அமைப்பு
Date must be in format: {0},தேதி வடிவமைப்பில் இருக்க வேண்டும் : {0}
Datetime,நாள்நேரம்
Dear,அன்பே
Default,தவறுதல்
Default Print Format,முன்னிருப்பு அச்சு வடிவம்
Default Value,முன்னிருப்பு மதிப்பு
"Default: ""Contact Us""",இயல்புநிலை: &quot;எங்களை&quot;
DefaultValue,DefaultValue
Defaults,இயல்புநிலைக்கு
"Define read, write, admin permissions for a Website Page.",", படிக்க வரையறுத்து எழுத , ஒரு இணைய பக்கத்தில் நிர்வாகம் அனுமதி ."
Define workflows for forms.,வடிவங்கள் வேலைப்பகிர்வுகள் வரையறை.
Delete,நீக்கு
Delete Row,வரிசையை நீக்கு
Depends On,பொறுத்தது
Descending,இறங்கு
Description,விளக்கம்
Description and Status,விளக்கம் மற்றும் தகுதி
"Description for listing page, in plain text, only a couple of lines. (max 140 characters)","வெற்று உரையாக பட்டியல் பக்கம் விளக்கங்களும், வரிகளை மட்டும் ஒரு ஜோடி. (அதிகபட்சம் 140 எழுத்துக்கள்)"
Description for page header.,பக்கம் தலைப்பு விளக்கம்.
Desktop,டெஸ்க்டாப்
Details,விவரம்
Did not add,சேர்க்க முடியவில்லை
Did not cancel,ரத்து
Did not find {0} for {0} ({1}),ஐந்து {0} கண்டுபிடிக்க முடியவில்லை {0} ( {1} )
Did not load,ஏற்ற முடியவில்லை
Did not remove,நீக்க முடியவில்லை
Did not save,சேமிக்க முடியவில்லை
"Different ""States"" this document can exist in. Like ""Open"", ""Pending Approval"" etc.","வெவ்வேறு &quot;அமெரிக்கா&quot; இந்த ஆவணம் &quot;ஏற்பு நிலுவையில்&quot; போன்ற, &quot;திற&quot; போல உள்ளே இருக்க முடியும்"
Disable Customer Signup link in Login page,உள்நுழைவு பக்கம் வாடிக்கையாளர் பதிவு இணைப்பு முடக்கு
Disable Signup,பதிவுசெய்தல் முடக்கு
Disabled,முடக்கப்பட்டது
Display,காட்டு
Display Settings,அமைப்புகள் காட்ட
Display in the sidebar of this Website Route node,இந்த இணையத்தளம் வழி முனை பக்கப்பட்டியில் காட்சி
Do not allow user to change after set the first time,பயனர் மாற்ற அனுமதிக்க வேண்டாம் பிறகு முதல் முறையாக அமைக்க
Doc Status,Doc நிலைமை
DocField,DocField
DocPerm,DocPerm
DocType,DOCTYPE
DocType Details,DOCTYPE விவரம்
DocType can not be merged,DOCTYPE ஒன்றாக்க முடியாது
DocType on which this Workflow is applicable.,இந்த பணியோட்ட பொருந்தும் எந்த டாக்டைப்பின்.
DocType or Field,DOCTYPE அல்லது புலம்
Doclist JSON,Doclist JSON
Docname,Docname
Document,பத்திரம்
Document Status transition from ,முதல் ஆவண நிலைமை மாற்றம்
Document Status transition from {0} to {1} is not allowed,{1} செய்ய {0} ஆவண நிலைமை மாற்றம் அனுமதி இல்லை
Document Type,ஆவண வகை
Document is only editable by users of role,ஆவண பங்கு பயனர்கள் மட்டுமே திருத்தக்கூடிய
Documentation,ஆவணமாக்கம்
Documents,ஆவணங்கள்
Down,கீழே
Download,பதிவிறக்கம்
Download Backup,காப்பு பதிவிறக்க
Download link for your backup will be emailed on the following email address:,உங்கள் காப்பு பதிவிறக்க தொடர்பு பின்வரும் மின்னஞ்சல் முகவரி மின்னஞ்சல்:
Drafts,வரைவுகள்
Drag to sort columns,வகை நெடுவரிசைகள் இழுக்கவும்
Due Date,காரணம் தேதி
Edit,திருத்த
Edit Permissions,திருத்து அனுமதிகள்
Editable,திருத்தும்படி
Email,மின்னஞ்சல்
Email Host,மின்னஞ்சல் புரவலன்
Email Id,மின்னஞ்சல் விலாசம்
Email Login,மின்னஞ்சல் தேதி
Email Password,மின்னஞ்சல் கடவுச்சொல்
Email Sent,மின்னஞ்சல் அனுப்பப்பட்டது
Email Settings,மின்னஞ்சல் அமைப்புகள்
Email Signature,மின்னஞ்சல் கையொப்பம்
Email Use SSL,பயன்பாட்டு SSL மின்னஞ்சல்
Email address,மின்னஞ்சல் முகவரி
"Email addresses, separted by commas","கமாவால் separted மின்னஞ்சல் முகவரிகள்,"
Email not verified with {1},மின்னஞ்சல் மூலம் சரிபார்க்கப்பட்டது{1}
Email sent to {0},மின்னஞ்சல் அனுப்பி {0}
Email...,மின்னஞ்சல் ...
Emails are muted,மின்னஞ்சல்கள் முடக்கியது
Embed image slideshows in website pages.,இணைய பக்கங்களில் உள்ள படத்தை ஸ்லைடு உட்பொதிக்கவும்.
Enable Comments,கருத்துரைகளை இயக்கு
Enabled,இயலுமைப்படுத்த
Ends on,முனைகளில்
Enter Form Type,படிவம் வகை உள்ளிடவும்
Enter Value,மதிப்பு சேர்க்கவும்
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to <a href=""#Form/Customize Form/Customize Form"">Customize Form</a>.","முன்னிருப்பு மதிப்பு துறைகளில் (விசைகளை) மற்றும் மதிப்புகள் உள்ளிடவும். நீங்கள் ஒரு துறையில் பல மதிப்புகள் சேர்க்க என்றால், முதலில் ஒரு தயக்கம். இந்த முன்னிருப்புகள் கூட &quot;போட்டி&quot; அனுமதி விதிகளை அமைக்க பயன்படுத்தப்படுகிறது. துறைகளில் பட்டியலை பார்க்க, சென்று <a href=""#Form/Customize Form/Customize Form"">படிவம் தனிப்பயனாக்கு</a> ."
"Enter keys to enable login via Facebook, Google, GitHub.","பேஸ்புக் , கூகுள், மகிழ்ச்சியா வழியாக நுழைய செயல்படுத்த விசைகளை உள்ளிடவும்."
Equals,சமங்களின்
Error,பிழை
Error: Document has been modified after you have opened it,பிழை: நீங்கள் அதை திறந்து பின் ஆவண மாற்றம்
Event,சம்பவம்
Event Datetime,நிகழ்வு நாள்நேரம்
Event Individuals,நிகழ்வு தனிநபர்கள்
Event Role,நிகழ்வு பாத்திரம்
Event Roles,நிகழ்வு பங்களிப்பு
Event Type,நிகழ்வு வகை
Event User,நிகழ்வு பயனர்
Event end must be after start,நிகழ்வு இறுதியில் தொடங்கிய பின்னர் இருக்க வேண்டும்
Events,நிகழ்வுகள்
Events In Today's Calendar,இன்றைய அட்டவணை நிகழ்வுகள்
Every Day,ஒவ்வொரு நாள்
Every Month,ஒவ்வொரு மாதமும்
Every Week,ஒவ்வொரு வாரமும்
Every Year,ஒவ்வொரு ஆண்டும்
Example:,உதாரணமாக:
Expand,விரி
Export,ஏற்றுமதி செய்
Export not allowed. You need {0} role to export.,ஏற்றுமதி அனுமதி இல்லை . ஏற்றுமதி செய்ய நீங்கள் {0} பங்கு வேண்டும் .
Exported,ஏற்றுமதி
Facebook,பேஸ்புக்
Facebook Client ID,பேஸ்புக் கிளையன்ட் ஐடி
Facebook Client Secret,பேஸ்புக் கிளையண்ட் சீக்ரெட்
Facebook Share,Facebook பகிர்
Facebook User ID,பேஸ்புக் பயனர் ஐடி
Facebook Username,பேஸ்புக் பயனர்பெயர்
FavIcon,ஃபேவிகான்
Female,பெண்
Field Description,புலம் விளக்கம்
Field Name,புலம் பெயர்
Field Type,புலம் வகை
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","(புலம் இல்லை என்றால், ஒரு புதிய மறைக்கப்பட்ட தனிப்பயன் புலம் உருவாக்கப்படும்) பரிமாற்றத்தின் பணியோட்ட மாநிலம் பிரதிபலிக்கிறது என்று புலம்"
Field {0} in row {1} cannot be hidden and mandatory without default,புலம் {0} வரிசையில் {1} இயல்புநிலை இல்லாமல் மறைத்து மற்றும் கட்டாய முடியாது
Field {0} is not selectable.,புலம் {0} தேர்ந்தெடுக்கும் அல்ல.
Field {0} of type {1} cannot be mandatory,புலம் {0} வகை {1} கட்டாயமாக இருக்க முடியாது
Fieldname,FIELDNAME
Fieldname is required in row {0},FIELDNAME வரிசையில் தேவைப்படுகிறது {0}
Fieldname not set for Custom Field,FIELDNAME விருப்ப புலம் அமைக்க
Fieldname {0} appears multiple times in rows {1},FIELDNAME {0} வரிசைகளில் பல முறை தோன்றும் {1}
"Fieldname {0} cannot contain letters, numbers or spaces","FIELDNAME {0} எழுத்துக்கள், எண்கள் அல்லது இடைவெளிகள் கொண்டிருக்க முடியாது"
Fields,புலங்கள்
"Fields separated by comma (,) will be included in the<br /><b>Search By</b> list of Search dialog box","கமா (,) மூலம் பிரித்து துறைகளில் சேர்க்கப்படும் <br /> திரைப்பட உரையாடல் பெட்டி பட்டியல் <b>மூலம் தேட</b>"
Fieldtype must be one of {0} in row {1},Fieldtype வரிசையில் {0} ஒன்றாக இருக்க வேண்டும் {1}
File,கோப்பு
File Data,கோப்பு தகவல்கள்
File Name,கோப்பு பெயர்
File Size,கோப்பு அளவு
File URL,கோப்பு URL
File not attached,கோப்பு இணைக்கப்பட்ட இல்லை
File size exceeded the maximum allowed size,கோப்பு அளவு அனுமதிக்கப்பட்ட அதிகபட்ச அளவை தாண்டியது
Filter,வடிகட்ட
First Name,முதல் பெயர்
Float,மிதப்பதற்கு
Float Precision,துல்லிய மிதப்பதற்கு
Font (Heading),எழுத்துரு (தலைப்பு)
Font (Text),எழுத்துரு (உரை)
Font Size (Text),எழுத்துரு அளவு (உரை)
Fonts,எழுத்துருக்கள்
Footer,அடிக்குறிப்பு
Footer Items,அடிக்குறிப்பு உருப்படிகள்
For DocType,DOCTYPE பொறுத்தவரை
"For Links, enter the DocType as range
For Select, enter list of Options separated by comma",
"For comparative filters, start with","ஒப்பீட்டு வடிப்பான்களின், துவக்க"
For example if you cancel and amend 'INV004' it will become a new document 'INV004-1'. This helps you to keep track of each amendment.,நீங்கள் ரத்து &#39;INV004&#39; திருத்தும் உதாரணமாக இது ஒரு புதிய ஆவணம் &#39;INV004-1&#39; போம். இந்த ஒவ்வொரு திருத்த கண்காணிக்க உதவுகிறது.
"For example, if user X is restricted to company C, user X will not be able to see any transaction that has company C as a linked value.","பயனர் எக்ஸ் நிறுவனம் சி கட்டுப்படுத்தப்பட்டுள்ளது உதாரணமாக , பயனர் எக்ஸ் ஒரு இணைக்கப்பட்ட மதிப்பு நிறுவனம் சி உள்ளது என்று எந்த பரிவர்த்தனை பார்க்க முடியாது ."
For ranges,வரம்புகள்
For top bar,மேல் பட்டியில்
For {0} at level {1} in {2} in row {3},இதற்காக {0} மட்டத்தில் {1} ல் {2} வரிசையில் {3}
Forgot Password,கடவுச்சொல் மறந்து விட்டீர்களா
Forgot Password?,கடவுச்சொல் மறந்து விட்டீர்களா?
Form,படிவம்
Forum,கருத்துக்களம்
Forums,கருத்துக்களம்
Forward To Email Address,முன்னோக்கி மின்னஞ்சல் முகவரியை
Friday,வெள்ளி
From Date must be before To Date,தேதி முதல் தேதி முன் இருக்க வேண்டும்
Full Name,முழு பெயர்
Gantt Chart,காண்ட் விளக்கப்படம்
Gender,பாலினம்
Generator,மக்களை பெறுபவர்
Georgia,ஜோர்ஜியா
Get,கிடைக்கும்
Get From ,முதல் கிடைக்கும்
GitHub,மகிழ்ச்சியா
GitHub Client ID,மகிழ்ச்சியா கிளையன்ட் ஐடி
GitHub Client Secret,மகிழ்ச்சியா கிளையண்ட் சீக்ரெட்
Github User ID,கிட்ஹப் பயனர் ஐடி
Github Username,கிட்ஹப் பயனர்பெயர்
Google,கூகிள்
Google Analytics ID,கூகுள் அனலிட்டிக்ஸ் ஐடி
Google Client ID,Google கிளையன்ட் ஐடி
Google Client Secret,Google கிளையன்ட் சீக்ரெட்
Google Plus One,கூகிள் பிளஸ் ஒன்
Google User ID,கூகிள் பயனர் ஐடி
